date;product_code;rest_code;product_count
06.01.2009;824021;ќзерный;4
06.01.2009;824068;ќзерный;1
06.01.2009;824070;ќзерный;2
06.01.2009;824073;ќзерный;1
06.01.2009;824074;ќзерный;1
06.01.2009;824087;ќзерный;1
06.01.2009;824095;ќзерный;4
07.01.2009;824021;ќзерный;2
07.01.2009;824057;ќзерный;3
07.01.2009;824070;ќзерный;2
07.01.2009;824073;ќзерный;1
07.01.2009;824074;ќзерный;2
07.01.2009;824095;ќзерный;1
07.01.2009;824096;ќзерный;2
07.01.2009;824102;ќзерный;1
08.01.2009;824021;ќзерный;2
08.01.2009;824057;ќзерный;2
08.01.2009;824070;ќзерный;5
08.01.2009;824074;ќзерный;8
08.01.2009;824087;ќзерный;1
08.01.2009;824095;ќзерный;9
08.01.2009;824096;ќзерный;3
08.01.2009;824103;ќзерный;3
09.01.2009;824021;ќзерный;1
09.01.2009;824068;ќзерный;2
09.01.2009;824070;ќзерный;6
09.01.2009;824073;ќзерный;3
09.01.2009;824074;ќзерный;4
09.01.2009;824087;ќзерный;2
09.01.2009;824095;ќзерный;4
09.01.2009;824096;ќзерный;5
09.01.2009;824103;ќзерный;3
09.01.2009;824105;ќзерный;1
10.01.2009;824021;ќзерный;2
10.01.2009;824057;ќзерный;3
10.01.2009;824070;ќзерный;2
10.01.2009;824073;ќзерный;2
10.01.2009;824074;ќзерный;1
10.01.2009;824087;ќзерный;3
10.01.2009;824095;ќзерный;3
10.01.2009;824102;ќзерный;1
10.01.2009;824103;ќзерный;2
11.01.2009;824021;ќзерный;1
11.01.2009;824057;ќзерный;5
11.01.2009;824068;ќзерный;2
11.01.2009;824070;ќзерный;4
11.01.2009;824074;ќзерный;2
11.01.2009;824087;ќзерный;1
11.01.2009;824095;ќзерный;3
11.01.2009;824096;ќзерный;5
11.01.2009;824102;ќзерный;5
11.01.2009;824103;ќзерный;1
11.01.2009;824105;ќзерный;1
12.01.2009;824021;ќзерный;4
12.01.2009;824057;ќзерный;3
12.01.2009;824070;ќзерный;3
12.01.2009;824073;ќзерный;1
12.01.2009;824074;ќзерный;1
12.01.2009;824087;ќзерный;7
12.01.2009;824095;ќзерный;8
12.01.2009;824096;ќзерный;6
12.01.2009;824105;ќзерный;2
13.01.2009;824021;ќзерный;7
13.01.2009;824057;ќзерный;1
13.01.2009;824068;ќзерный;1
13.01.2009;824070;ќзерный;4
13.01.2009;824074;ќзерный;2
13.01.2009;824087;ќзерный;5
13.01.2009;824095;ќзерный;13
13.01.2009;824096;ќзерный;7
13.01.2009;824102;ќзерный;5
13.01.2009;824103;ќзерный;1
13.01.2009;824105;ќзерный;1
14.01.2009;824021;ќзерный;6
14.01.2009;824070;ќзерный;8
14.01.2009;824073;ќзерный;4
14.01.2009;824074;ќзерный;5
14.01.2009;824087;ќзерный;5
14.01.2009;824095;ќзерный;10
14.01.2009;824096;ќзерный;4
14.01.2009;824102;ќзерный;4
15.01.2009;824021;ќзерный;5
15.01.2009;824057;ќзерный;5
15.01.2009;824068;ќзерный;2
15.01.2009;824070;ќзерный;6
15.01.2009;824074;ќзерный;2
15.01.2009;824087;ќзерный;6
15.01.2009;824095;ќзерный;15
15.01.2009;824096;ќзерный;12
15.01.2009;824102;ќзерный;2
15.01.2009;824103;ќзерный;1
16.01.2009;824021;ќзерный;8
16.01.2009;824057;ќзерный;3
16.01.2009;824070;ќзерный;5
16.01.2009;824073;ќзерный;1
16.01.2009;824074;ќзерный;1
16.01.2009;824087;ќзерный;6
16.01.2009;824095;ќзерный;12
16.01.2009;824096;ќзерный;6
16.01.2009;824102;ќзерный;4
16.01.2009;824103;ќзерный;1
16.01.2009;824105;ќзерный;1
17.01.2009;824021;ќзерный;6
17.01.2009;824057;ќзерный;1
17.01.2009;824070;ќзерный;7
17.01.2009;824074;ќзерный;2
17.01.2009;824087;ќзерный;5
17.01.2009;824095;ќзерный;5
17.01.2009;824096;ќзерный;6
17.01.2009;824102;ќзерный;1
17.01.2009;824103;ќзерный;1
17.01.2009;824105;ќзерный;1
18.01.2009;824021;ќзерный;1
18.01.2009;824057;ќзерный;2
18.01.2009;824070;ќзерный;4
18.01.2009;824073;ќзерный;5
18.01.2009;824074;ќзерный;5
18.01.2009;824095;ќзерный;2
18.01.2009;824096;ќзерный;5
18.01.2009;824102;ќзерный;3
18.01.2009;824103;ќзерный;3
19.01.2009;824021;ќзерный;5
19.01.2009;824057;ќзерный;4
19.01.2009;824070;ќзерный;6
19.01.2009;824073;ќзерный;3
19.01.2009;824074;ќзерный;2
19.01.2009;824087;ќзерный;5
19.01.2009;824095;ќзерный;9
19.01.2009;824096;ќзерный;4
19.01.2009;824102;ќзерный;2
19.01.2009;824105;ќзерный;1
20.01.2009;824021;ќзерный;11
20.01.2009;824057;ќзерный;2
20.01.2009;824068;ќзерный;1
20.01.2009;824070;ќзерный;11
20.01.2009;824073;ќзерный;6
20.01.2009;824074;ќзерный;2
20.01.2009;824087;ќзерный;6
20.01.2009;824095;ќзерный;16
20.01.2009;824096;ќзерный;14
20.01.2009;824102;ќзерный;3
20.01.2009;824103;ќзерный;1
20.01.2009;824105;ќзерный;1
21.01.2009;824021;ќзерный;7
21.01.2009;824057;ќзерный;5
21.01.2009;824070;ќзерный;6
21.01.2009;824073;ќзерный;7
21.01.2009;824074;ќзерный;4
21.01.2009;824087;ќзерный;3
21.01.2009;824095;ќзерный;11
21.01.2009;824096;ќзерный;11
21.01.2009;824102;ќзерный;2
21.01.2009;824103;ќзерный;1
21.01.2009;824105;ќзерный;2
22.01.2009;824021;ќзерный;6
22.01.2009;824057;ќзерный;5
22.01.2009;824070;ќзерный;2
22.01.2009;824073;ќзерный;3
22.01.2009;824074;ќзерный;4
22.01.2009;824087;ќзерный;3
22.01.2009;824095;ќзерный;13
22.01.2009;824096;ќзерный;8
22.01.2009;824103;ќзерный;1
23.01.2009;824021;ќзерный;8
23.01.2009;824057;ќзерный;3
23.01.2009;824068;ќзерный;1
23.01.2009;824070;ќзерный;6
23.01.2009;824073;ќзерный;7
23.01.2009;824074;ќзерный;2
23.01.2009;824087;ќзерный;3
23.01.2009;824095;ќзерный;17
23.01.2009;824096;ќзерный;10
23.01.2009;824102;ќзерный;1
23.01.2009;824103;ќзерный;2
23.01.2009;824105;ќзерный;3
24.01.2009;824021;ќзерный;3
24.01.2009;824070;ќзерный;10
24.01.2009;824073;ќзерный;1
24.01.2009;824074;ќзерный;3
24.01.2009;824095;ќзерный;6
24.01.2009;824096;ќзерный;7
24.01.2009;824103;ќзерный;4
25.01.2009;824021;ќзерный;2
25.01.2009;824057;ќзерный;3
25.01.2009;824070;ќзерный;4
25.01.2009;824073;ќзерный;1
25.01.2009;824074;ќзерный;2
25.01.2009;824087;ќзерный;3
25.01.2009;824095;ќзерный;7
25.01.2009;824096;ќзерный;3
25.01.2009;824103;ќзерный;1
25.01.2009;824105;ќзерный;3
26.01.2009;824021;ќзерный;6
26.01.2009;824057;ќзерный;2
26.01.2009;824068;ќзерный;3
26.01.2009;824070;ќзерный;3
26.01.2009;824073;ќзерный;2
26.01.2009;824074;ќзерный;4
26.01.2009;824087;ќзерный;1
26.01.2009;824095;ќзерный;14
26.01.2009;824096;ќзерный;7
26.01.2009;824103;ќзерный;4
27.01.2009;824021;ќзерный;8
27.01.2009;824057;ќзерный;1
27.01.2009;824070;ќзерный;13
27.01.2009;824073;ќзерный;7
27.01.2009;824074;ќзерный;4
27.01.2009;824087;ќзерный;3
27.01.2009;824095;ќзерный;13
27.01.2009;824096;ќзерный;1
27.01.2009;824102;ќзерный;2
27.01.2009;824103;ќзерный;4
28.01.2009;824021;ќзерный;8
28.01.2009;824057;ќзерный;2
28.01.2009;824070;ќзерный;8
28.01.2009;824073;ќзерный;7
28.01.2009;824074;ќзерный;5
28.01.2009;824087;ќзерный;6
28.01.2009;824095;ќзерный;15
28.01.2009;824096;ќзерный;2
28.01.2009;824102;ќзерный;1
28.01.2009;824103;ќзерный;2
28.01.2009;824105;ќзерный;1
29.01.2009;824021;ќзерный;5
29.01.2009;824057;ќзерный;3
29.01.2009;824068;ќзерный;2
29.01.2009;824070;ќзерный;8
29.01.2009;824073;ќзерный;3
29.01.2009;824074;ќзерный;7
29.01.2009;824087;ќзерный;5
29.01.2009;824095;ќзерный;14
29.01.2009;824096;ќзерный;6
29.01.2009;824102;ќзерный;1
29.01.2009;824103;ќзерный;2
30.01.2009;824021;ќзерный;6
30.01.2009;824057;ќзерный;2
30.01.2009;824068;ќзерный;1
30.01.2009;824070;ќзерный;6
30.01.2009;824073;ќзерный;2
30.01.2009;824074;ќзерный;4
30.01.2009;824087;ќзерный;7
30.01.2009;824095;ќзерный;14
30.01.2009;824096;ќзерный;5
30.01.2009;824103;ќзерный;4
30.01.2009;824105;ќзерный;1
31.01.2009;824021;ќзерный;4
31.01.2009;824068;ќзерный;1
31.01.2009;824070;ќзерный;3
31.01.2009;824073;ќзерный;2
31.01.2009;824074;ќзерный;3
31.01.2009;824087;ќзерный;4
31.01.2009;824095;ќзерный;10
31.01.2009;824096;ќзерный;3
31.01.2009;824102;ќзерный;1
31.01.2009;824103;ќзерный;4
31.01.2009;824105;ќзерный;1
01.02.2009;824021;ќзерный;5
01.02.2009;824057;ќзерный;1
01.02.2009;824068;ќзерный;1
01.02.2009;824074;ќзерный;7
01.02.2009;824087;ќзерный;2
01.02.2009;824095;ќзерный;4
01.02.2009;824096;ќзерный;6
01.02.2009;824102;ќзерный;1
01.02.2009;824103;ќзерный;3
02.02.2009;824021;ќзерный;2
02.02.2009;824057;ќзерный;2
02.02.2009;824068;ќзерный;1
02.02.2009;824070;ќзерный;7
02.02.2009;824073;ќзерный;1
02.02.2009;824074;ќзерный;2
02.02.2009;824087;ќзерный;3
02.02.2009;824095;ќзерный;9
02.02.2009;824096;ќзерный;5
02.02.2009;824102;ќзерный;1
03.02.2009;824021;ќзерный;10
03.02.2009;824057;ќзерный;2
03.02.2009;824070;ќзерный;8
03.02.2009;824073;ќзерный;3
03.02.2009;824074;ќзерный;7
03.02.2009;824087;ќзерный;7
03.02.2009;824095;ќзерный;16
03.02.2009;824096;ќзерный;13
03.02.2009;824102;ќзерный;1
03.02.2009;824103;ќзерный;1
03.02.2009;824105;ќзерный;1
04.02.2009;824021;ќзерный;3
04.02.2009;824057;ќзерный;3
04.02.2009;824061;ќзерный;6
04.02.2009;824070;ќзерный;6
04.02.2009;824073;ќзерный;3
04.02.2009;824074;ќзерный;8
04.02.2009;824087;ќзерный;5
04.02.2009;824095;ќзерный;17
04.02.2009;824096;ќзерный;7
04.02.2009;824102;ќзерный;2
04.02.2009;824103;ќзерный;2
05.02.2009;824021;ќзерный;6
05.02.2009;824057;ќзерный;4
05.02.2009;824061;ќзерный;4
05.02.2009;824068;ќзерный;1
05.02.2009;824070;ќзерный;4
05.02.2009;824073;ќзерный;3
05.02.2009;824074;ќзерный;5
05.02.2009;824087;ќзерный;5
05.02.2009;824095;ќзерный;16
05.02.2009;824096;ќзерный;9
05.02.2009;824103;ќзерный;5
05.02.2009;824105;ќзерный;2
06.02.2009;824021;ќзерный;1
06.02.2009;824057;ќзерный;3
06.02.2009;824061;ќзерный;7
06.02.2009;824070;ќзерный;6
06.02.2009;824073;ќзерный;1
06.02.2009;824074;ќзерный;7
06.02.2009;824087;ќзерный;4
06.02.2009;824095;ќзерный;20
06.02.2009;824096;ќзерный;8
06.02.2009;824102;ќзерный;1
06.02.2009;824103;ќзерный;2
07.02.2009;824057;ќзерный;3
07.02.2009;824061;ќзерный;2
07.02.2009;824068;ќзерный;1
07.02.2009;824070;ќзерный;1
07.02.2009;824073;ќзерный;2
07.02.2009;824074;ќзерный;4
07.02.2009;824087;ќзерный;1
07.02.2009;824095;ќзерный;6
07.02.2009;824096;ќзерный;2
07.02.2009;824103;ќзерный;2
07.02.2009;824105;ќзерный;1
08.02.2009;824021;ќзерный;4
08.02.2009;824057;ќзерный;3
08.02.2009;824061;ќзерный;2
08.02.2009;824070;ќзерный;3
08.02.2009;824074;ќзерный;2
08.02.2009;824087;ќзерный;2
08.02.2009;824095;ќзерный;3
08.02.2009;824096;ќзерный;3
08.02.2009;824103;ќзерный;2
08.02.2009;824105;ќзерный;2
09.02.2009;824021;ќзерный;9
09.02.2009;824057;ќзерный;2
09.02.2009;824061;ќзерный;2
09.02.2009;824068;ќзерный;1
09.02.2009;824070;ќзерный;4
09.02.2009;824073;ќзерный;7
09.02.2009;824074;ќзерный;3
09.02.2009;824087;ќзерный;4
09.02.2009;824095;ќзерный;9
09.02.2009;824096;ќзерный;6
09.02.2009;824102;ќзерный;3
09.02.2009;824103;ќзерный;2
09.02.2009;824105;ќзерный;2
10.02.2009;824021;ќзерный;8
10.02.2009;824057;ќзерный;2
10.02.2009;824061;ќзерный;6
10.02.2009;824070;ќзерный;8
10.02.2009;824073;ќзерный;3
10.02.2009;824074;ќзерный;1
10.02.2009;824087;ќзерный;2
10.02.2009;824095;ќзерный;15
10.02.2009;824096;ќзерный;4
10.02.2009;824102;ќзерный;1
10.02.2009;824103;ќзерный;4
11.02.2009;824021;ќзерный;6
11.02.2009;824057;ќзерный;5
11.02.2009;824061;ќзерный;3
11.02.2009;824070;ќзерный;10
11.02.2009;824073;ќзерный;6
11.02.2009;824074;ќзерный;7
11.02.2009;824087;ќзерный;4
11.02.2009;824095;ќзерный;12
11.02.2009;824096;ќзерный;8
11.02.2009;824102;ќзерный;3
11.02.2009;824103;ќзерный;5
11.02.2009;824105;ќзерный;1
12.02.2009;824021;ќзерный;8
12.02.2009;824057;ќзерный;1
12.02.2009;824061;ќзерный;3
12.02.2009;824068;ќзерный;1
12.02.2009;824070;ќзерный;9
12.02.2009;824073;ќзерный;1
12.02.2009;824074;ќзерный;3
12.02.2009;824087;ќзерный;4
12.02.2009;824095;ќзерный;18
12.02.2009;824096;ќзерный;9
12.02.2009;824103;ќзерный;2
12.02.2009;824105;ќзерный;2
13.02.2009;824021;ќзерный;9
13.02.2009;824057;ќзерный;4
13.02.2009;824061;ќзерный;11
13.02.2009;824068;ќзерный;1
13.02.2009;824070;ќзерный;3
13.02.2009;824073;ќзерный;3
13.02.2009;824074;ќзерный;3
13.02.2009;824087;ќзерный;2
13.02.2009;824095;ќзерный;13
13.02.2009;824096;ќзерный;4
13.02.2009;824102;ќзерный;2
13.02.2009;824103;ќзерный;4
14.02.2009;824021;ќзерный;3
14.02.2009;824057;ќзерный;3
14.02.2009;824061;ќзерный;4
14.02.2009;824070;ќзерный;4
14.02.2009;824074;ќзерный;4
14.02.2009;824087;ќзерный;2
14.02.2009;824095;ќзерный;3
14.02.2009;824096;ќзерный;5
14.02.2009;824103;ќзерный;2
15.02.2009;824021;ќзерный;3
15.02.2009;824057;ќзерный;2
15.02.2009;824061;ќзерный;4
15.02.2009;824070;ќзерный;1
15.02.2009;824073;ќзерный;1
15.02.2009;824074;ќзерный;4
15.02.2009;824087;ќзерный;2
15.02.2009;824095;ќзерный;1
15.02.2009;824096;ќзерный;2
15.02.2009;824102;ќзерный;1
15.02.2009;824103;ќзерный;1
16.02.2009;824021;ќзерный;6
16.02.2009;824057;ќзерный;3
16.02.2009;824061;ќзерный;2
16.02.2009;824070;ќзерный;3
16.02.2009;824073;ќзерный;3
16.02.2009;824074;ќзерный;4
16.02.2009;824087;ќзерный;2
16.02.2009;824095;ќзерный;14
16.02.2009;824096;ќзерный;6
16.02.2009;824102;ќзерный;1
16.02.2009;824103;ќзерный;2
16.02.2009;824105;ќзерный;1
17.02.2009;824021;ќзерный;11
17.02.2009;824057;ќзерный;6
17.02.2009;824061;ќзерный;7
17.02.2009;824068;ќзерный;1
17.02.2009;824070;ќзерный;15
17.02.2009;824073;ќзерный;4
17.02.2009;824074;ќзерный;4
17.02.2009;824087;ќзерный;3
17.02.2009;824095;ќзерный;13
17.02.2009;824096;ќзерный;3
17.02.2009;824102;ќзерный;2
17.02.2009;824103;ќзерный;1
18.02.2009;824021;ќзерный;3
18.02.2009;824061;ќзерный;7
18.02.2009;824068;ќзерный;1
18.02.2009;824070;ќзерный;11
18.02.2009;824073;ќзерный;1
18.02.2009;824074;ќзерный;5
18.02.2009;824087;ќзерный;3
18.02.2009;824095;ќзерный;14
18.02.2009;824096;ќзерный;5
18.02.2009;824102;ќзерный;4
18.02.2009;824103;ќзерный;4
18.02.2009;824105;ќзерный;2
19.02.2009;824021;ќзерный;8
19.02.2009;824057;ќзерный;3
19.02.2009;824070;ќзерный;8
19.02.2009;824073;ќзерный;1
19.02.2009;824074;ќзерный;8
19.02.2009;824087;ќзерный;7
19.02.2009;824095;ќзерный;14
19.02.2009;824096;ќзерный;11
19.02.2009;824102;ќзерный;1
19.02.2009;824103;ќзерный;1
20.02.2009;824021;ќзерный;7
20.02.2009;824057;ќзерный;7
20.02.2009;824068;ќзерный;1
20.02.2009;824070;ќзерный;9
20.02.2009;824074;ќзерный;2
20.02.2009;824087;ќзерный;4
20.02.2009;824095;ќзерный;13
20.02.2009;824096;ќзерный;5
20.02.2009;824103;ќзерный;1
20.02.2009;824105;ќзерный;1
21.02.2009;824021;ќзерный;7
21.02.2009;824057;ќзерный;2
21.02.2009;824070;ќзерный;7
21.02.2009;824073;ќзерный;3
21.02.2009;824074;ќзерный;4
21.02.2009;824087;ќзерный;3
21.02.2009;824095;ќзерный;9
21.02.2009;824096;ќзерный;2
21.02.2009;824102;ќзерный;2
21.02.2009;824103;ќзерный;8
21.02.2009;824105;ќзерный;2
22.02.2009;824021;ќзерный;4
22.02.2009;824057;ќзерный;3
22.02.2009;824068;ќзерный;2
22.02.2009;824070;ќзерный;4
22.02.2009;824073;ќзерный;2
22.02.2009;824074;ќзерный;7
22.02.2009;824095;ќзерный;4
22.02.2009;824096;ќзерный;2
22.02.2009;824103;ќзерный;4
22.02.2009;824105;ќзерный;1
23.02.2009;824021;ќзерный;1
23.02.2009;824057;ќзерный;1
23.02.2009;824070;ќзерный;5
23.02.2009;824073;ќзерный;4
23.02.2009;824074;ќзерный;7
23.02.2009;824087;ќзерный;3
23.02.2009;824095;ќзерный;6
23.02.2009;824096;ќзерный;5
23.02.2009;824102;ќзерный;1
23.02.2009;824103;ќзерный;3
23.02.2009;824105;ќзерный;4
24.02.2009;824021;ќзерный;4
24.02.2009;824057;ќзерный;3
24.02.2009;824070;ќзерный;3
24.02.2009;824073;ќзерный;3
24.02.2009;824087;ќзерный;4
24.02.2009;824095;ќзерный;5
24.02.2009;824096;ќзерный;5
24.02.2009;824102;ќзерный;1
24.02.2009;824103;ќзерный;3
24.02.2009;824105;ќзерный;1
25.02.2009;824021;ќзерный;7
25.02.2009;824057;ќзерный;6
25.02.2009;824070;ќзерный;5
25.02.2009;824073;ќзерный;2
25.02.2009;824074;ќзерный;4
25.02.2009;824087;ќзерный;7
25.02.2009;824095;ќзерный;19
25.02.2009;824096;ќзерный;5
25.02.2009;824102;ќзерный;6
25.02.2009;824103;ќзерный;3
25.02.2009;824105;ќзерный;2
26.02.2009;824021;ќзерный;6
26.02.2009;824057;ќзерный;1
26.02.2009;824068;ќзерный;1
26.02.2009;824070;ќзерный;11
26.02.2009;824073;ќзерный;2
26.02.2009;824074;ќзерный;4
26.02.2009;824087;ќзерный;6
26.02.2009;824095;ќзерный;15
26.02.2009;824096;ќзерный;6
26.02.2009;824102;ќзерный;2
26.02.2009;824103;ќзерный;1
26.02.2009;824105;ќзерный;1
27.02.2009;824021;ќзерный;4
27.02.2009;824057;ќзерный;2
27.02.2009;824068;ќзерный;1
27.02.2009;824070;ќзерный;11
27.02.2009;824073;ќзерный;3
27.02.2009;824074;ќзерный;9
27.02.2009;824087;ќзерный;3
27.02.2009;824095;ќзерный;20
27.02.2009;824096;ќзерный;8
27.02.2009;824102;ќзерный;3
27.02.2009;824103;ќзерный;4
28.02.2009;824021;ќзерный;3
28.02.2009;824057;ќзерный;2
28.02.2009;824070;ќзерный;1
28.02.2009;824073;ќзерный;3
28.02.2009;824074;ќзерный;1
28.02.2009;824087;ќзерный;3
28.02.2009;824095;ќзерный;13
28.02.2009;824096;ќзерный;5
28.02.2009;824102;ќзерный;1
28.02.2009;824103;ќзерный;1
01.03.2009;824021;ќзерный;3
01.03.2009;824057;ќзерный;3
01.03.2009;824070;ќзерный;3
01.03.2009;824073;ќзерный;5
01.03.2009;824074;ќзерный;3
